Topic : TOPIC1-3, Partition : 0, Offset : 0, Key : None, value : 1
Topic : TOPIC1-3, Partition : 0, Offset : 1, Key : None, value : 2
Topic : TOPIC1-3, Partition : 0, Offset : 2, Key : None, value : 3
Topic : TOPIC1-3, Partition : 0, Offset : 3, Key : None, value : 4
Topic : TOPIC1-3, Partition : 0, Offset : 4, Key : None, value : 5
Topic : TOPIC1-3, Partition : 0, Offset : 5, Key : None, value : 6
Topic : TOPIC1-3, Partition : 0, Offset : 6, Key : None, value : 7
Topic : TOPIC1-3, Partition : 0, Offset : 7, Key : None, value : 8
Topic : TOPIC1-3, Partition : 0, Offset : 8, Key : None, value : 9
Topic : TOPIC1-3, Partition : 0, Offset : 9, Key : None, value : 10
Topic : TOPIC1-3, Partition : 0, Offset : 10, Key : None, value : 11
Topic : TOPIC1-3, Partition : 0, Offset : 11, Key : None, value : 12
Topic : TOPIC1-3, Partition : 0, Offset : 12, Key : None, value : 13
Topic : TOPIC1-3, Partition : 0, Offset : 13, Key : None, value : 14
Topic : TOPIC1-3, Partition : 0, Offset : 14, Key : None, value : 15
Topic : TOPIC1-3, Partition : 0, Offset : 15, Key : None, value : 16
Topic : TOPIC1-3, Partition : 0, Offset : 16, Key : None, value : 17
Topic : TOPIC1-3, Partition : 0, Offset : 17, Key : None, value : 18
Topic : TOPIC1-3, Partition : 0, Offset : 18, Key : None, value : 19
Topic : TOPIC1-3, Partition : 0, Offset : 19, Key : None, value : 20
Topic : TOPIC1-3, Partition : 0, Offset : 20, Key : None, value : 21
Topic : TOPIC1-3, Partition : 0, Offset : 21, Key : None, value : 22
Topic : TOPIC1-3, Partition : 0, Offset : 22, Key : None, value : 23
Topic : TOPIC1-3, Partition : 0, Offset : 23, Key : None, value : 24
Topic : TOPIC1-3, Partition : 0, Offset : 24, Key : None, value : 25
Topic : TOPIC1-3, Partition : 0, Offset : 25, Key : None, value : 26
Topic : TOPIC1-3, Partition : 0, Offset : 26, Key : None, value : 27
Topic : TOPIC1-3, Partition : 0, Offset : 27, Key : None, value : 28
Topic : TOPIC1-3, Partition : 0, Offset : 28, Key : None, value : 29
Topic : TOPIC1-3, Partition : 0, Offset : 29, Key : None, value : 30
Topic : TOPIC1-3, Partition : 0, Offset : 30, Key : None, value : 31
Topic : TOPIC1-3, Partition : 0, Offset : 31, Key : None, value : 32
Topic : TOPIC1-3, Partition : 0, Offset : 32, Key : None, value : 33
Topic : TOPIC1-3, Partition : 0, Offset : 33, Key : None, value : 34
Topic : TOPIC1-3, Partition : 0, Offset : 34, Key : None, value : 35
Topic : TOPIC1-3, Partition : 0, Offset : 35, Key : None, value : 36
Topic : TOPIC1-3, Partition : 0, Offset : 36, Key : None, value : 37
